Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
P0A9Q1	Aerobic respiration control protein ArcA OS=Escherichia coli (strain K12) GN=arcA PE=1 SV=1	arcA	11	904.76	27256.91436	2	b4401	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AG20	GTP pyrophosphokinase OS=Escherichia coli (strain K12) GN=relA PE=1 SV=1	relA	11	617.1	83805.0908	2	b2784	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P37903	Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2	uspF	11	615.53	15988.50332	2	b1376	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P39177	Universal stress protein G OS=Escherichia coli (strain K12) GN=uspG PE=1 SV=2	uspG	11	840.32	15907.2748	2	b0607	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0ADW3	Putative cytochrome d ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=yhcB PE=1 SV=2	yhcB	11	912.17	14933.50295	2	b3233	S	Function unknown	POORLY CHARACTERIZED
P0ADN2	UPF0438 protein yifE OS=Escherichia coli (strain K12) GN=yifE PE=1 SV=2	yifE	11	660.67	13107.43367	2	b3764	S	Function unknown	POORLY CHARACTERIZED
P77774	Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1	bamB	11	674.84	41843.31901	2	b2512	S	Function unknown	POORLY CHARACTERIZED
P76113	Putative NADP-dependent oxidoreductase yncB OS=Escherichia coli (strain K12) GN=yncB PE=3 SV=3	curA	11	681.37	37567.99556	2	b1449	R	General function prediction only	POORLY CHARACTERIZED
P25519	GTP-binding protein hflX OS=Escherichia coli (strain K12) GN=hflX PE=1 SV=3	hflX	11	911.29	48279.34506	2	b4173	R	General function prediction only	POORLY CHARACTERIZED
P0ACF8	DNA-binding protein H-NS OS=Escherichia coli (strain K12) GN=hns PE=1 SV=2	hns	11	778.89	15512.02414	2	b1237	R	General function prediction only	POORLY CHARACTERIZED
P0ACG1	DNA-binding protein stpA OS=Escherichia coli (strain K12) GN=stpA PE=3 SV=1	stpA	11	654.45	15319.95488	2	b2669	R	General function prediction only	POORLY CHARACTERIZED
P39831	NADP-dependent 3-hydroxy acid dehydrogenase YdfG OS=Escherichia coli (strain K12) GN=ydfG PE=1 SV=2	ydfG	11	603.49	27213.76185	2	b1539	R	General function prediction only	POORLY CHARACTERIZED
P0AC02	UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1	bamD	11	503.65	27793.80498	2	b2595	R	General function prediction only	POORLY CHARACTERIZED
P39286	Putative ribosome biogenesis GTPase RsgA OS=Escherichia coli (strain K12) GN=rsgA PE=1 SV=2	rsgA	11	629.32	39150.93052	2	b4161	R	General function prediction only	POORLY CHARACTERIZED
P77247	Phosphatase YniC OS=Escherichia coli (strain K12) GN=yniC PE=1 SV=1	yniC	11	449.22	24296.69318	2	b1727	R	General function prediction only	POORLY CHARACTERIZED
P76536	Uncharacterized protein yfeX OS=Escherichia coli (strain K12) GN=yfeX PE=3 SV=2	yfeX	11	961.12	33013.46217	2	b2431	P	Inorganic ion transport and metabolism	METABOLISM
P22255	3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) GN=cysQ PE=1 SV=2	cysQ	11	649.8	27140.68135	2	b4214	P	Inorganic ion transport and metabolism	METABOLISM
P0A9K7	Phosphate transport system protein phoU OS=Escherichia coli (strain K12) GN=phoU PE=1 SV=1	phoU	11	647.52	27381.7359	2	b3724	P	Inorganic ion transport and metabolism	METABOLISM
P13024	Protein FdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2	fdhE	11	856.45	34706.33649	2	b3891	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P27249	[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2	glnD	11	575.83	102307.94	2	b0167	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AC59	Glutaredoxin-2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1	grxB	11	561.28	24316.69694	2	b1064	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AFL3	Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1	ppiA	11	676.01	20400.38325	2	b3363	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A862	Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2	tpx	11	757.4	17806.20497	2	b1324	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
Q46845	Uncharacterized GST-like protein yghU OS=Escherichia coli (strain K12) GN=yghU PE=1 SV=2	yghU	11	716.21	32353.38694	2	b2989	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AG14	Probable protease sohB OS=Escherichia coli (strain K12) GN=sohB PE=1 SV=1	sohB	11	743.39	39323.69358	2	b1272	OU	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A6J8	D-alanine--D-alanine ligase A OS=Escherichia coli (strain K12) GN=ddlA PE=3 SV=1	ddlA	11	845.5	39273.26165	2	b0381	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37636	Multidrug resistance protein mdtE OS=Escherichia coli (strain K12) GN=mdtE PE=1 SV=1	mdtE	11	726.93	41147.45053	2	b3513	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P36767	Recombination-associated protein rdgC OS=Escherichia coli (strain K12) GN=rdgC PE=1 SV=1	rdgC	11	646.86	33953.48385	2	b0393	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A6X7	Integration host factor subunit alpha OS=Escherichia coli (strain K12) GN=ihfA PE=1 SV=1	ihfA	11	537.93	11328.95837	2	b1712	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A9F3	HTH-type transcriptional regulator CysB OS=Escherichia coli (strain K12) GN=cysB PE=3 SV=1	cysB	11	586.43	36109.85116	2	b1275	K	Transcription	INFORMATION STORAGE AND PROCESSING
P76268	Transcriptional regulator kdgR OS=Escherichia coli (strain K12) GN=kdgR PE=1 SV=1	kdgR	11	636.45	29992.45783	2	b1827	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACJ0	Leucine-responsive regulatory protein OS=Escherichia coli (strain K12) GN=lrp PE=1 SV=2	lrp	11	416.09	18857.02597	2	b0889	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7J7	50S ribosomal protein L11 OS=Escherichia coli (strain K12) GN=rplK PE=1 SV=2	rplK	11	702.29	14847.87444	2	b3983	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P68919	50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1	rplY	11	568.56	10668.70954	2	b2185	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7X3	30S ribosomal protein S9 OS=Escherichia coli (strain K12) GN=rpsI PE=1 SV=2	rpsI	11	393.35	14829.0118	2	b3230	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	accD	11	614.69	33282.06852	2	b2316	I	Lipid transport and metabolism	METABOLISM
P10384	Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5	fadL	11	684.13	48493.51804	2	b2344	I	Lipid transport and metabolism	METABOLISM
P0A8K1	Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1	psd	11	504.8	35893.65515	2	b4160	I	Lipid transport and metabolism	METABOLISM
P69451	Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1	fadD	11	549.24	62274.45314	2	b1805	IQ	Lipid transport and metabolism	METABOLISM
P0AG84	Uncharacterized oxidoreductase yghA OS=Escherichia coli (strain K12) GN=yghA PE=1 SV=1	yghA	11	442.26	31450.32209	2	b3003	IQR	Lipid transport and metabolism	METABOLISM
P0AEZ9	Molybdenum cofactor biosynthesis protein B OS=Escherichia coli (strain K12) GN=moaB PE=1 SV=2	moaB	11	868.03	18635.49217	2	b0782	H	Coenzyme transport and metabolism	METABOLISM
P0AAB4	3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1	ubiD	11	562.56	55550.30277	2	b3843	H	Coenzyme transport and metabolism	METABOLISM
P0A759	Glucosamine-6-phosphate deaminase OS=Escherichia coli (strain K12) GN=nagB PE=1 SV=1	nagB	11	457.8	29737.06131	2	b0678	G	Carbohydrate transport and metabolism	METABOLISM
P0A8G3	Uronate isomerase OS=Escherichia coli (strain K12) GN=uxaC PE=3 SV=1	uxaC	11	599.68	53934.61332	2	b3092	G	Carbohydrate transport and metabolism	METABOLISM
P37349	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3	dhaM	11	764.21	51398.26995	2	b1198	G	Carbohydrate transport and metabolism	METABOLISM
P69805	Mannose permease IID component OS=Escherichia coli (strain K12) GN=manZ PE=1 SV=1	manZ	11	641.02	31264.58442	2	b1819	G	Carbohydrate transport and metabolism	METABOLISM
P39325	ABC transporter periplasmic-binding protein ytfQ OS=Escherichia coli (strain K12) GN=ytfQ PE=1 SV=1	ytfQ	11	555.91	34304.83484	2	b4227	G	Carbohydrate transport and metabolism	METABOLISM
P37051	Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) GN=purU PE=1 SV=1	purU	11	1030.44	31896.52381	2	b1232	F	Nucleotide transport and metabolism	METABOLISM
P08331	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) GN=cpdB PE=1 SV=2	cpdB	11	781.63	70769.81696	2	b4213	F	Nucleotide transport and metabolism	METABOLISM
P11446	N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1	argC	11	750.6	35911.41235	2	b3958	E	Amino acid transport and metabolism	METABOLISM
P16703	Cysteine synthase B OS=Escherichia coli (strain K12) GN=cysM PE=1 SV=1	cysM	11	710.74	32625.48081	2	b2421	E	Amino acid transport and metabolism	METABOLISM
P29745	Peptidase T OS=Escherichia coli (strain K12) GN=pepT PE=1 SV=2	pepT	11	570.65	44876.79994	2	b1127	E	Amino acid transport and metabolism	METABOLISM
P0A821	L-seryl-tRNA(Sec) selenium transferase OS=Escherichia coli (strain K12) GN=selA PE=1 SV=1	selA	11	684.16	50557.49581	2	b3591	E	Amino acid transport and metabolism	METABOLISM
P30177	Uncharacterized protein ybiB OS=Escherichia coli (strain K12) GN=ybiB PE=3 SV=1	ybiB	11	508.11	35008.05566	2	b0800	E	Amino acid transport and metabolism	METABOLISM
P0A6L2	Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1	dapA	11	682.04	31232.09735	2	b2478	EM	Amino acid transport and metabolism	METABOLISM
P37313	Dipeptide transport ATP-binding protein DppF OS=Escherichia coli (strain K12) GN=dppF PE=3 SV=1	dppF	11	485.78	37518.44931	2	b3540	E	Amino acid transport and metabolism	METABOLISM
P0AES0	Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) GN=gsp PE=1 SV=1	gss	11	521.79	70469.40032	2	b2988	E	Amino acid transport and metabolism	METABOLISM
P77444	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=sufS PE=1 SV=1	sufS	11	689.39	44387.51743	2	b1680	E	Amino acid transport and metabolism	METABOLISM
P00909	Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3	trpC	11	680.1	49312.34103	2	b1262	E	Amino acid transport and metabolism	METABOLISM
P0AAG0	Dipeptide transport ATP-binding protein DppD OS=Escherichia coli (strain K12) GN=dppD PE=3 SV=1	dppD	11	562.55	35803.4273	2	b3541	EP	Amino acid transport and metabolism	METABOLISM
P0AFD1	NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1	nuoE	11	656.05	18560.16361	2	b2285	C	Energy production and conversion	METABOLISM
P30178	Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2	ybiC	11	1210.26	38854.31329	2	b0801	C	Energy production and conversion	METABOLISM
P25906	Putative oxidoreductase YdbC OS=Escherichia coli (strain K12) GN=ydbC PE=1 SV=1	ydbC	11	694.81	30668.76971	2	b1406	C	Energy production and conversion	METABOLISM
P0ABA0	ATP synthase subunit b OS=Escherichia coli (strain K12) GN=atpF PE=1 SV=1	atpF	11	685.03	17235.28982	2	b3736	C	Energy production and conversion	METABOLISM
P24232	Flavohemoprotein OS=Escherichia coli (strain K12) GN=hmp PE=1 SV=1	hmp	11	595.45	43822.01281	2	b2552	C	Energy production and conversion	METABOLISM
P28304	Quinone oxidoreductase 1 OS=Escherichia coli (strain K12) GN=qorA PE=1 SV=1	qorA	11	730.37	35132.52887	2	b4051	CR	Energy production and conversion	METABOLISM
P25714	Inner membrane protein oxaA OS=Escherichia coli (strain K12) GN=oxaA PE=1 SV=2	yidC	10	523.71	61468.37581	2	b3705	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AED0	Universal stress protein A OS=Escherichia coli (strain K12) GN=uspA PE=1 SV=2	uspA	10	859.56	16038.13696	2	b3495	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AF28	Nitrate/nitrite response regulator protein narL OS=Escherichia coli (strain K12) GN=narL PE=1 SV=1	narL	10	696.62	23893.68135	2	b1221	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0A8I3	UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1	yaaA	10	549.35	29549.3024	2	b0006	S	Function unknown	POORLY CHARACTERIZED
P0A8E7	UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2	yajQ	10	890.51	18314.5428	2	b0426	S	Function unknown	POORLY CHARACTERIZED
P0A8B5	UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1	ybaB	10	701.89	11988.91312	2	b0471	S	Function unknown	POORLY CHARACTERIZED
P76097	Uncharacterized protein ydcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1	ydcJ	10	395.81	50992.62968	2	b1423	S	Function unknown	POORLY CHARACTERIZED
P43672	ABC transporter ATP-binding protein uup OS=Escherichia coli (strain K12) GN=uup PE=1 SV=2	uup	10	532.11	72004.14163	2	b0949	R	General function prediction only	POORLY CHARACTERIZED
P33920	Nucleoid-associated protein YejK OS=Escherichia coli (strain K12) GN=yejK PE=1 SV=3	yejK	10	670.39	37781.14933	2	b2186	R	General function prediction only	POORLY CHARACTERIZED
P0ADR8	LOG family protein ygdH OS=Escherichia coli (strain K12) GN=ygdH PE=1 SV=1	ygdH	10	599.49	50921.20064	2	b2795	R	General function prediction only	POORLY CHARACTERIZED
P0A894	UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain K12) GN=yhbJ PE=1 SV=1	yhbJ	10	533.08	32453.73402	2	b3205	R	General function prediction only	POORLY CHARACTERIZED
P46853	Uncharacterized oxidoreductase yhhX OS=Escherichia coli (strain K12) GN=yhhX PE=1 SV=1	yhhX	10	569.68	38722.71557	2	b3440	R	General function prediction only	POORLY CHARACTERIZED
P31658	Chaperone protein hchA OS=Escherichia coli (strain K12) GN=hchA PE=1 SV=3	hchA	10	452.82	31152.59493	2	b1967	R	General function prediction only	POORLY CHARACTERIZED
P0A9V1	Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) GN=lptB PE=1 SV=2	lptB	10	833	26766.07681	2	b3201	R	General function prediction only	POORLY CHARACTERIZED
P33940	Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2	mqo	10	558.03	60173.82383	2	b2210	R	General function prediction only	POORLY CHARACTERIZED
P67087	Ribosomal RNA small subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rsmI PE=1 SV=1	rsmI	10	655.6	31310.56676	2	b3146	R	General function prediction only	POORLY CHARACTERIZED
P21367	Uncharacterized protein ycaC OS=Escherichia coli (strain K12) GN=ycaC PE=1 SV=1	ycaC	10	656.84	23067.81755	2	b0897	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P04846	Lipoprotein 28 OS=Escherichia coli (strain K12) GN=nlpA PE=1 SV=1	nlpA	10	679.98	29387.44815	2	b3661	P	Inorganic ion transport and metabolism	METABOLISM
P31142	3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) GN=sseA PE=1 SV=3	sseA	10	903.66	30774.59912	2	b2521	P	Inorganic ion transport and metabolism	METABOLISM
P77318	Uncharacterized sulfatase ydeN OS=Escherichia coli (strain K12) GN=ydeN PE=3 SV=2	ydeN	10	499.82	62745.09934	2	b1498	P	Inorganic ion transport and metabolism	METABOLISM
P0AG82	Phosphate-binding protein pstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1	pstS	10	596.96	36983.0841	2	b3728	P	Inorganic ion transport and metabolism	METABOLISM
P07821	Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Escherichia coli (strain K12) GN=fhuC PE=1 SV=3	fhuC	10	582.72	28850.06916	1	b0151	PH	Inorganic ion transport and metabolism	METABOLISM
P06610	Vitamin B12 transport periplasmic protein BtuE OS=Escherichia coli (strain K12) GN=btuE PE=3 SV=1	btuE	10	427.67	20438.34628	2	b1710	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AEG6	Thiol:disulfide interchange protein DsbC OS=Escherichia coli (strain K12) GN=dsbC PE=1 SV=1	dsbC	10	521.12	25586.89691	2	b2893	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AEG4	Thiol:disulfide interchange protein DsbA OS=Escherichia coli (strain K12) GN=dsbA PE=1 SV=1	dsbA	10	518.39	23071.69653	2	b3860	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P77522	FeS cluster assembly protein sufB OS=Escherichia coli (strain K12) GN=sufB PE=1 SV=2	sufB	10	676.65	54692.59648	2	b1683	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P77499	Probable ATP-dependent transporter SufC OS=Escherichia coli (strain K12) GN=sufC PE=1 SV=1	sufC	10	704.74	27547.12225	2	b1682	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0ACA7	Uncharacterized GST-like protein yliJ OS=Escherichia coli (strain K12) GN=yliJ PE=1 SV=1	gstB	10	546.83	23680.16535	2	b0838	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A9D2	Glutathione S-transferase OS=Escherichia coli (strain K12) GN=gst PE=1 SV=1	gstA	10	547.31	22835.83157	2	b1635	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P04949	Flagellin OS=Escherichia coli (strain K12) GN=fliC PE=1 SV=2	fliC	10	640.6	51246.56095	2	b1923	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
P69776	Major outer membrane lipoprotein Lpp OS=Escherichia coli (strain K12) GN=lpp PE=1 SV=1	lpp	10	601.85	8300.2889	2	b1677	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P02919	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	mrcB	10	528.79	88815.91013	2	b0149	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P17952	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	10	658.89	53574.3631	2	b0091	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P11880	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	10	633.27	47399.59944	2	b0086	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A912	Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1	pal	10	820.78	18794.22893	2	b0741	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P60390	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	10	598.72	34838.18791	2	b0082	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0ACB0	Replicative DNA helicase OS=Escherichia coli (strain K12) GN=dnaB PE=1 SV=1	dnaB	10	656.61	52339.69889	2	b4052	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P43329	ATP-dependent RNA helicase hrpA OS=Escherichia coli (strain K12) GN=hrpA PE=3 SV=3	hrpA	10	454.42	148917.1694	2	b1413	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P09030	Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4	xthA	10	402.1	30931.52872	2	b1749	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0AF20	N-acetylglucosamine repressor OS=Escherichia coli (strain K12) GN=nagC PE=2 SV=1	nagC	10	508.96	44495.56096	2	b0676	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7C2	LexA repressor OS=Escherichia coli (strain K12) GN=lexA PE=1 SV=1	lexA	10	589.13	22325.88481	2	b4043	KT	Transcription	INFORMATION STORAGE AND PROCESSING
P0AFM6	Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2	pspA	10	639.35	25459.21011	2	b1304	KT	Transcription	INFORMATION STORAGE AND PROCESSING
P23882	Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4	fmt	10	534.27	34128.84631	2	b3288	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P60723	50S ribosomal protein L4 OS=Escherichia coli (strain K12) GN=rplD PE=1 SV=1	rplD	10	570.55	22054.85068	2	b3319	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ADY3	50S ribosomal protein L14 OS=Escherichia coli (strain K12) GN=rplN PE=1 SV=1	rplN	10	775.81	13514.43986	2	b3310	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AG44	50S ribosomal protein L17 OS=Escherichia coli (strain K12) GN=rplQ PE=1 SV=1	rplQ	10	515.63	14337.64689	2	b3294	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P60624	50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2	rplX	10	700.8	11291.29914	2	b3309	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7R5	30S ribosomal protein S10 OS=Escherichia coli (strain K12) GN=rpsJ PE=1 SV=1	rpsJ	10	541.09	11710.39634	2	b3321	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7S9	30S ribosomal protein S13 OS=Escherichia coli (strain K12) GN=rpsM PE=1 SV=2	rpsM	10	775.08	13073.26157	2	b3298	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AEI4	Ribosomal protein S12 methylthiotransferase RimO OS=Escherichia coli (strain K12) GN=rimO PE=1 SV=1	rimO	10	458.31	49532.38803	2	b0835	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P21151	3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	fadA	10	924.33	40831.62496	2	b3845	I	Lipid transport and metabolism	METABOLISM
P0AET8	7-alpha-hydroxysteroid dehydrogenase OS=Escherichia coli (strain K12) GN=hdhA PE=1 SV=1	hdhA	10	492.48	26743.57852	2	b1619	IQR	Lipid transport and metabolism	METABOLISM
P76503	3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1	fadI	10	421.61	46483.14049	2	b2342	I	Lipid transport and metabolism	METABOLISM
P77399	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1	fadJ	10	498.47	77005.72935	2	b2341	I	Lipid transport and metabolism	METABOLISM
P06983	Porphobilinogen deaminase OS=Escherichia coli (strain K12) GN=hemC PE=1 SV=2	hemC	10	517.65	33812.80201	2	b3805	H	Coenzyme transport and metabolism	METABOLISM
P0ACB7	Protein hemY OS=Escherichia coli (strain K12) GN=hemY PE=1 SV=1	hemY	10	435.37	45198.8272	2	b3802	H	Coenzyme transport and metabolism	METABOLISM
P11458	Quinolinate synthase A OS=Escherichia coli (strain K12) GN=nadA PE=1 SV=3	nadA	10	491.71	38198.18573	2	b0750	H	Coenzyme transport and metabolism	METABOLISM
P24186	Bifunctional protein FolD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4	folD	10	732.84	31006.32562	2	b0529	H	Coenzyme transport and metabolism	METABOLISM
P0AEJ2	Isochorismate synthase entC OS=Escherichia coli (strain K12) GN=entC PE=1 SV=1	entC	10	594.73	42886.87981	2	b0593	HQ	Coenzyme transport and metabolism	METABOLISM
P17993	3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1	ubiG	10	599.7	26520.48429	2	b2232	H	Coenzyme transport and metabolism	METABOLISM
P75913	Glyoxylate/hydroxypyruvate reductase A OS=Escherichia coli (strain K12) GN=ghrA PE=1 SV=2	ghrA	10	658.05	35303.17335	2	b1033	HE	Coenzyme transport and metabolism	METABOLISM
P0A7Z0	Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) GN=rpiA PE=1 SV=1	rpiA	10	468.67	22827.97901	2	b2914	G	Carbohydrate transport and metabolism	METABOLISM
P46130	Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2	ybhC	10	718.47	46035.84719	2	b0772	G	Carbohydrate transport and metabolism	METABOLISM
P76143	Uncharacterized aldolase lsrF OS=Escherichia coli (strain K12) GN=lsrF PE=1 SV=1	lsrF	10	660.63	31854.09188	2	b1517	G	Carbohydrate transport and metabolism	METABOLISM
P0ADG4	Inositol-1-monophosphatase OS=Escherichia coli (strain K12) GN=suhB PE=1 SV=1	suhB	10	639.59	29135.97683	2	b2533	G	Carbohydrate transport and metabolism	METABOLISM
P08178	Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) GN=purM PE=1 SV=3	purM	10	909.59	36812.62949	2	b2499	F	Nucleotide transport and metabolism	METABOLISM
P08244	Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1	pyrF	10	451.31	26315.46192	2	b1281	F	Nucleotide transport and metabolism	METABOLISM
