KEGG ID	Gene name	Definition
b0721	sdhc, cyba, eck0710, jw0711	succinate dehydrogenase, membrane subunit, binds cytochrome b556
b0722	sdhd, eck0711, jw0712	succinate dehydrogenase, membrane subunit, binds cytochrome b556
b0723	sdha, eck0712, jw0713	succinate dehydrogenase, flavoprotein subunit (ec:1,3,99,1)
b0724	sdhb, eck0713, jw0714	succinate dehydrogenase, fes subunit (ec:1,3,99,1)
b0726	suca, eck0714, jw0715, lys	2-oxoglutarate decarboxylase, thiamin-requiring (ec:1,2,4,2)
b0727	sucb, eck0715, jw0716	dihydrolipoyltranssuccinase (ec:2,3,1,61)
b0728	succ, eck0716, jw0717	succinyl-coa synthetase, beta subunit (ec:6,2,1,5)
b0729	sucd, eck0717, jw0718	succinyl-coa synthetase, nad(p)-binding, alpha subunit (ec:6,2,1,5)
b0730	mngr, eck0718, farr, jw0719, ybgb	dna-binding transcriptional dual regulator, fatty-acyl-binding
b0731	mnga, eck0719, hrsa, jw0720	fused 2-o-a-mannosyl-d-glycerate specific pts enzymes: iia
b0732	mngb, eck0720, jw0721	alpha-mannosidase
b0733	cyda, eck0721, jw0722	cytochrome d terminal oxidase, subunit i (ec:1,9,3,-)
b0734	cydb, eck0722, jw0723	cytochrome d terminal oxidase, subunit ii (ec:1,9,3,-)
b0735	ybge, eck0724, jw0725	conserved inner membrane protein
b0736	ybgc, eck0725, jw0726	predicted acyl-coa thioesterase
b0737	tolq, eck0726, fii, jw0727, tolp	membrane spanning protein in tola-tolq-tolr complex
b0738	tolr, eck0727, jw0728	membrane spanning protein in tola-tolq-tolr complex
b0739	tola, cim, eck0728, excc, jw0729, lky	membrane anchored protein in tola-tolq-tolr complex
b0740	tolb, eck0729, jw5100	periplasmic protein
b0741	pal, eck0730, excc, jw0731	peptidoglycan-associated outer membrane lipoprotein
b0742	ybgf, eck0731, jw0732	predicted protein
b0746	valz, eck0735, jwr0021	trna-val
b0749	lysq, eck0738, jwr0024	trna-lys
b0750	nada, eck0739, jw0733, nica	quinolinate synthase, subunit a
b0751	pnuc, eck0740, jw0734	predicted nicotinamide mononucleotide transporter
b0752	zitb, eck0741, jw0735, ybgr	zinc efflux system
b0753	ybgs, eck0742, jw0736	conserved protein
b0754	arog, eck0743, jw0737	3-deoxy-d-arabino-heptulosonate-7-phosphate synthase, phenylalanine
b0755	gpma, eck0744, gpm, jw0738	phosphoglyceromutase 1 (ec:5,4,2,1)
b0756	galm, eck0745, jw0739	galactose-1-epimerase (mutarotase) (ec:5,1,3,3)
b0757		
b0759	gale, eck0748, gald, jw0742	udp-galactose-4-epimerase (ec:5,1,3,2)
b0760	modf, chld, eck0749, jw0743, phra	fused molybdate transporter subunits of abc superfamily: atp-binding
b0761	mode, chld, eck0750, jw0744, modr	dna-binding transcriptional dual regulator
b0762	ybht, eck0751, jw5102	predicted protein
b0763	moda, eck0752, jw0746	molybdate transporter subunit
b0764	modb, chlj, eck0753, jw0747	molybdate transporter subunit
b0765	modc, chld, eck0754, jw0748, nard	molybdate transporter subunit (ec:3,6,3,29)
b0766	ybha, eck0755, jw0749, modd	predicted hydrolase
b0767	pgl, blu, eck0756, jw0750, ybhe	6-phosphogluconolactonase (ec:3,1,1,31)
b0768	ybhd, eck0757, jw5896	predicted dna-binding transcriptional regulator
b0769	ybhh, eck0758, jw0752	conserved protein
b0770	ybhi, eck0759, jw0753	predicted transporter
b0771	ybhj, eck0760, jw5103	predicted hydratase
b0772	ybhc, eck0761, jw0755	predicted pectinesterase
b0773	ybhb, eck0762, jw0756	predicted kinase inhibitor
b0774	bioa, eck0763, jw0757	7,8-diaminopelargonic acid synthase, plp-dependent (ec:2,6,1,62)
b0775	biob, eck0764, jw0758	biotin synthase (ec:2,8,1,6)
b0776	biof, eck0765, jw0759	8-amino-7-oxononanoate synthase (ec:2,3,1,47)
b0777	bioc, eck0766, jw0760	predicted methltransferase, enzyme of biotin synthesis
b0778	biod, eck0767, jw0761	dethiobiotin synthetase (ec:6,3,3,3)
b0779	uvrb, dar-1, dar-6, eck0768, jw0762	excinulease of nucleotide excision repair, dna damage recognition
b0780	ybhk, eck0769, jw0763	predicted transferase with nad(p)-binding rossmann-fold domain
b0781	moaa, bisa, chla, eck0770, jw0764, nara	molybdopterin biosynthesis protein a
b0782	moab, eck0771, jw0765	molybdopterin biosynthesis protein b
b0783	moac, eck0772, jw0766	molybdopterin biosynthesis, protein c
b0784	moad, chlm, eck0773, jw0767	molybdopterin synthase, small subunit
b0785	moae, eck0774, jw0768	molybdopterin synthase, large subunit
b0786	ybhl, eck0775, jw0769	predicted inner membrane protein
b0787	ybhm, eck0776, jw0770	conserved inner membrane protein
b0788	ybhn, eck0777, jw0771	conserved inner membrane protein
b0789	ybho, eck0778, jw0772	cardiolipin synthase 2 (ec:2,7,8,-)
b0790	ybhp, eck0779, jw0773	predicted dnase
b0791	ybhq, eck0780, jw0774	predicted inner membrane protein
b0792	ybhr, eck0781, jw5803	predicted transporter subunit: membrane component of abc superfamily
b0793	ybhs, eck0782, jw0777	predicted transporter subunit: membrane component of abc superfamily
b0794	ybhf, eck0783, jw5104	fused predicted transporter subunits of abc superfamily: atp-binding
b0795	ybhg, eck0784, jw0779	predicted membrane fusion protein (mfp) component of efflux pump,
b0796	ybih, eck0785, jw0780	predicted dna-binding transcriptional regulator
b0797	rhle, eck0786, jw0781	rna helicase
b0798	ybia, eck0787, jw0783	conserved protein
b0799	ding, eck0788, jw0784, rarb	atp-dependent dna helicase
b0800	ybib, eck0789, jw0785	predicted transferase/phosphorylase
b0801	ybic, eck0790, jw0786	predicted dehydrogenase
b0802	ybij, eck0791, jw0787	predicted protein
b0803	ybii, eck0792, jw0788	conserved protein
b0804	ybix, eck0793, jw5105	conserved protein
b0805	fiu, eck0794, jw0790, ybil	predicted iron outer membrane transporter
b0806	mcba, eck0795, jw5106, ybim	predicted protein
b0807	rlmf, eck0796, jw5107, ybin	23s rrna ma1618 methyltransferase, sam-dependent
b0808	ybio, eck0797, jw5108	predicted mechanosensitive channel
b0809	glnq, eck0798, jw0794	glutamine transporter subunit
b0810	glnp, eck0799, jw0795	glutamine transporter subunit
b0811	glnh, eck0800, jw0796	glutamine transporter subunit
b0812	dps, eck0801, jw0797, pexb, vtm	fe-binding and storage protein
b0813	rhta, eck0802, jw0798, ybif	threonine and homoserine efflux system
b0814	ompx, eck0803, jw0799, ybig	outer membrane protein
b0815	ybip, eck0804, jw0800	predicted hydrolase, inner membrane
b0816	ylil, eck0805, jw5969	predicted protein
b0817	mntr, eck0807, jw0801, ybiq	dna-binding transcriptional regulator of mnth
b0818	ybir, eck0808, jw0802	predicted transporter
b0819	ybis, eck0809, jw0803	l,d-transpeptidase linking lpp to murein
b0820	ybit, eck0810, jw0804	fused predicted transporter subunits of abc superfamily: atp-binding
b0821	ybiu, eck0811, jw0805	predicted protein
b0822	ybiv, eck0812, jw0806, suph	predicted hydrolase
b0823	ybiw, eck0813, jw0807, pflf	predicted pyruvate formate lyase
b0824	ybiy, eck0814, jw0808, pfle	predicted pyruvate formate lyase activating enzyme
b0825	fsaa, eck0815, jw5109, mipb, ybiz	fructose-6-phosphate aldolase 1 (ec:4,1,2,-)
b0826	moeb, chln, eck0816, jw0810	molybdopterin synthase sulfurylase
b0827	moea, bisb, chle, eck0817, jw0811, nare	molybdopterin biosynthesis protein
b0828	iaaa, eck0818, jw0812, spt, ybik	l-asparaginase (ec:3,5,1,1)
b0829	gsia, eck0819, jw5897, ylia	fused predicted peptide transport subunits of abc superfamily:
b0830	gsib, eck0820, jw5111, ylib	predicted peptide transporter subunit: periplasmic-binding component
b0831	gsic, eck0821, jw0815, ylic	predicted peptide transporter subunit: membrane component of abc
b0832	gsid, eck0822, jw0816, ylid	predicted peptide transporter subunit: membrane component of abc
b0833	ylie, eck0823, jw0817	conserved inner membrane protein
b0834	ylif, eck0824, jw0818	predicted diguanylate cyclase
b0835	rimo, eck0825, jw0819, ylig	predicted sam-dependent methyltransferase
b0836	bssr, eck0826, jw0820, ylih	conserved protein
b0837	ylii, eck0827, jw0821	predicted dehydrogenase
b0838	ylij, eck0828, jw0822	predicted glutathione s-transferase
b0839	dacc, eck0829, jw0823	d-alanyl-d-alanine carboxypeptidase (penicillin-binding protein 6a)
b0840	deor, eck0830, jw0824, nucr	dna-binding transcriptional repressor
b0841	ybjg, bcrc, eck0831, jw5112	undecaprenyl pyrophosphate phosphatase
b0842	cmr, cmla, eck0832, jw0826, mdfa	multidrug efflux system protein
b0843	ybjh, eck0833, jw0827	predicted protein
b0844	ybji, eck0834, jw5113	conserved protein
b0845	ybjj, eck0835, jw0829	predicted transporter
b0846	ybjk, eck0836, jw5114	predicted dna-binding transcriptional regulator
b0847	ybjl, eck0838, jw0831	predicted transporter
b0848	ybjm, eck0839, jw0832	predicted inner membrane protein
b0849	grxa, eck0840, grx, jw0833	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (rnr1a)
b0850	ybjc, eck0841, jw0834	predicted inner membrane protein
b0851	nfsa, eck0842, jw0835, mda18, mdaa, snra, ybjb	nitroreductase a, nadph-dependent, fmn-dependent (ec:1,-,-,-)
b0852	rimk, eck0843, jw0836, nek	ribosomal protein s6 modification protein
b0853	ybjn, eck0844, jw0837	predicted oxidoreductase
b0854	potf, eck0845, jw0838	putrescine transporter subunit: periplasmic-binding component of abc
b0855	potg, eck0846, jw5818	putrescine transporter subunit: atp-binding component of abc
b0856	poth, eck0847, jw0840	putrescine transporter subunit: membrane component of abc
b0857	poti, eck0848, jw0841	putrescine transporter subunit: membrane component of abc
b0858	ybjo, eck0849, jw0842	predicted inner membrane protein
b0859	rumb, eck0850, jw0843, ybjf	23s rrna m(5)u747 methyltransferase (ec:2,1,1,-)
b0860	artj, eck0851, jw0844	arginine transporter subunit
b0861	artm, eck0852, jw0845	arginine transporter subunit
b0862	artq, eck0853, jw0846	arginine transporter subunit
b0863	arti, eck0854, jw0847	arginine transporter subunit
b0864	artp, eck0855, jw0848	arginine transporter subunit
b0865	ybjp, eck0856, jw0849	predicted lipoprotein
b0866	ybjq, eck0857, jw0850	conserved protein
b0867	amid, eck0858, jw0851, ybjr	predicted amidase and lipoprotein
b0868	ybjs, eck0859, jw5819	predicted nad(p)h-binding oxidoreductase with nad(p)-binding
b0869	ybjt, eck0860, jw5116	conserved protein with nad(p)-binding rossmann-fold domain
b0870	ltae, eck0861, jw0854, ltaa, ybju	l-allo-threonine aldolase, plp-dependent (ec:4,1,2,5)
b0871	poxb, eck0862, jw0855	pyruvate dehydrogenase (pyruvate oxidase), thiamin-dependent,
b0872	hcr, eck0863, jw5117, ybjv	hcp oxidoreductase, nadh-dependent (ec:1,-,-,-)
b0873	hcp, eck0864, jw0857, ybjw	hybrid-cluster
b0874	ybje, eck0865, jw0858	predicted transporter
b0875	aqpz, bnip, eck0866, jw0859	aquaporin
b0876	ybjd, eck0867, jw0860	conserved protein with nucleoside triphosphate hydrolase domain
b0877	ybjx, eck0868, jw0861	conserved protein
b0878	maca, eck0869, jw0862, ybjy	macrolide transporter subunit, membrane fusion protein (mfp)
b0879	macb, eck0870, jw0863, ybjz	fused macrolide transporter subunits of abc superfamily: atp-binding
b0880	cspd, csph, eck0871, jw0864, ybja	cold shock protein homolog
b0881	clps, eck0872, jw0865, ylja	regulatory protein for clpa substrate specificity
b0882	clpa, eck0873, jw0866, lopd	atpase and specificity subunit of clpa-clpp atp-dependent serine
b0884	infa, bypa1, eck0875, jw0867	translation initiation factor if-1
b0885	aat, eck0876, jw0868, ycaa	leucyl/phenylalanyl-trna-protein transferase (ec:2,3,2,6)
b0886	cydc, eck0877, jw0869, mdra, mdrh, surb, ycab	fused cysteine transporter subunits of abc superfamily: membrane
b0887	cydd, eck0878, htrd, jw0870	fused cysteine transporter subunits of abc superfamily: membrane
b0888	trxb, eck0879, jw0871	thioredoxin reductase, fad/nad(p)-binding (ec:1,8,1,9)
b0889	lrp, alsb, eck0880, ihb, jw0872, livr, lrs, lss, lstr, mbf, oppi,	dna-binding transcriptional dual regulator, leucine-binding
b0890	ftsk, dinh, eck0881, jw0873	dna-binding membrane protein required for chromosome resolution and
b0891	lola, eck0882, jw0874, lpla, yzzv	chaperone for lipoproteins
b0892	rara, eck0883, jw0875, ycaj	recombination protein
b0893	sers, eck0884, jw0876	seryl-trna synthetase, also charges selenocysteinyl-trna with serine
b0894	dmsa, eck0885, jw5118	dimethyl sulfoxide reductase, anaerobic, subunit a (ec:1,8,99,-)
b0895	dmsb, eck0886, jw0878	dimethyl sulfoxide reductase, anaerobic, subunit b (ec:1,8,99,-)
b0896	dmsc, eck0887, jw0879	dimethyl sulfoxide reductase, anaerobic, subunit c (ec:1,8,99,-)
b0897	ycac, eck0888, jw0880	predicted hydrolase
b0898	ycad, eck0889, jw0881	predicted transporter
b0899	ycam, eck0890, jw5119	predicted transporter
b0900	ycan, eck0891, jw0883	predicted dna-binding transcriptional regulator
b0901	ycak, eck0892, jw0884	conserved protein
b0902	pfla, act, eck0893, jw0885	pyruvate formate lyase activating enzyme 1 (ec:1,97,1,4)
b0903	pflb, eck0894, jw0886, pfl	pyruvate formate lyase i (ec:2,3,1,54)
b0904	foca, eck0895, jw0887, ycae	formate transporter
b0905	ycao, eck0896, jw0888	conserved protein
b0906	ycap, eck0897, jw0889	conserved inner membrane protein
b0907	serc, eck0898, jw0890, pdxc, pdxf	3-phosphoserine/phosphohydroxythreonine aminotransferase
b0908	aroa, eck0899, jw0891	5-enolpyruvylshikimate-3-phosphate synthetase (ec:2,5,1,19)
b0909	ycal, eck0900, jw0892	predicted peptidase with chaperone function
b0910	cmk, eck0901, jw0893, mssa, ycaf, ycag	cytidylate kinase (ec:2,7,4,14)
b0911	rpsa, eck0902, jw0894, ssyf	30s ribosomal subunit protein s1
b0912	ihfb, eck0903, himd, hip, jw0895	integration host factor (ihf), dna-binding protein, beta subunit
b0913	ycai, eck0904, jw5120	conserved inner membrane protein
b0914	msba, eck0905, jw0897	fused lipid transporter subunits of abc superfamily: membrane
b0915	lpxk, eck0906, jw0898, ycah	lipid a 4'kinase (ec:2,7,1,130)
b0916	ycaq, eck0907, jw0899	conserved protein
b0917	ycar, eck0908, jw0900	conserved protein
b0918	kdsb, eck0909, jw0901	3-deoxy-manno-octulosonate cytidylyltransferase (ec:2,7,7,38)
b0919	ycbj, eck0910, jw0902	conserved protein
b0920	ycbc, eck0911, jw0903	conserved inner membrane protein
b0921	smta, eck0912, jw0904, ycbd	predicted s-adenosyl-l-methionine-dependent methyltransferase
b0922	mukf, eck0913, jw0905, kicb	involved in chromosome partioning, ca2+ binding protein
b0923	muke, eck0914, jw0906, kica, ycba	protein involved in chromosome partitioning
b0924	mukb, eck0915, jw0907	fused chromosome partitioning protein: predicted nucleotide
b0925	ycbb, eck0916, jw0908	murein l,d-transpeptidase
b0926	ycbk, eck0917, jw0909	conserved protein
b0927	ycbl, eck0918, jw0910	predicted metal-binding enzyme
b0928	aspc, eck0919, jw0911	aspartate aminotransferase, plp-dependent (ec:2,6,1,1)
b0929	ompf, cmlb, coa, cry, eck0920, jw0912, tolf	outer membrane porin 1a (ia;b;f)
b0930	asns, eck0921, jw0913, lcs, tss	asparaginyl trna synthetase (ec:6,1,1,22)
b0931	pncb, eck0922, jw0914	nicotinate phosphoribosyltransferase (ec:2,4,2,11)
b0932	pepn, eck0923, jw0915	aminopeptidase n (ec:3,4,11,2)
b0933	ssub, eck0924, jw0916, ycbe	alkanesulfonate transporter subunit
b0934	ssuc, eck0925, jw5121, ycbm	alkanesulfonate transporter subunit
b0935	ssud, eck0926, jw0918, ssi6, ycbn	alkanesulfonate monooxygenase, fmnh(2)-dependent (ec:1,14,14,5)
b0936	ssua, eck0927, jw0919, ycbo	alkanesulfonate transporter subunit
b0937	ssue, eck0928, jw0920, ssi4, ycbp	nad(p)h-dependent fmn reductase (ec:1,5,1,29)
b0938	ycbq, eck0929, fmai, jw5122	predicted fimbrial-like adhesin protein
b0939	ycbr, eck0930, jw0922	predicted periplasmic pilin chaperone
b0940	ycbs, eck0931, jw0923	predicted outer membrane usher protein
b0941	ycbt, eck0932, fmaj, jw0924	predicted fimbrial-like adhesin protein
b0942	ycbu, eck0933, fmak, jw0925	predicted fimbrial-like adhesin protein
b0943	ycbv, eck0934, fmal, jw5123	predicted fimbrial-like adhesin protein
b0944	ycbf, eck0935, jw5124	predicted periplasmic pilini chaperone
b0945	pyrd, eck0936, jw0928	dihydro-orotate oxidase, fmn-linked (ec:1,3,3,1)
b0946	ycbw, eck0937, jw5125	predicted protein
b0947	ycbx, eck0938, jw5126	predicted 2fe-2s cluster-containing protein
b0948	rlml, eck0939, jw0931, ycby	23s rrna mg2445 methyltransferase, sam-dependent
b0949	uup, eck0940, jw0932, ycbh, ycbi	fused predicted transporter subunits of abc superfamily: atp-binding
b0950	pqia, eck0941, jw0933, pqi5	paraquat-inducible membrane protein a
b0951	pqib, eck0942, jw0934, pqi5	paraquat-inducible protein b
b0952	ymba, eck0943, jw5127	conserved protein
b0953	rmf, eck0944, jw0936	ribosome modulation factor
b0954	faba, eck0945, jw0937	beta-hydroxydecanoyl thioester dehydrase (ec:4,2,1,60)
b0955	ycbz, eck0946, jw0938	predicted peptidase
b0956	ycbg, eck0947, jw0939	conserved protein
b0957	ompa, con, eck0948, jw0940, tolg, tut	outer membrane protein a (3a;ii*;g;d)
b0958	sula, eck0949, jw0941, sfia	sos cell division inhibitor
b0959	sxy, eck0950, jw0942, tfox, yccr	conserved protein
b0960	yccs, eck0951, jw5128	predicted inner membrane protein
b0961	yccf, eck0952, jw0944	conserved inner membrane protein
b0962	held, eck0953, jw0945, srjb	dna helicase iv (ec:3,6,1,-)
b0963	mgsa, eck0954, jw5129, mgs, yccg	methylglyoxal synthase (ec:4,2,3,3)
b0964	ycct, eck0955, jw0947	conserved protein
b0965	yccu, eck0956, jw5130	predicted coa-binding protein with nad(p)-binding rossmann-fold
b0966	hspq, eck0957, jw5970, yccv	dna-binding protein, hemimethylated
b0967	rlmi, eck0958, jw5898, yccw	23s rrna m(5)c1962 methyltransferase, sam-dependent
b0968	yccx, eck0959, jw5131	predicted acylphosphatase
b0969	ycck, eck0960, jw0952, tuse	predicted sulfite reductase subunit
b0970	ycca, eck0961, jw0953	inner membrane protein
b0971	sert, dive, eck0962, jwr0026	trna-ser
b0972	hyaa, eck0963, jw0954	hydrogenase 1, small subunit (ec:1,12,99,6)
b0973	hyab, eck0964, jw0955	hydrogenase 1, large subunit (ec:1,12,99,6)
b0974	hyac, eck0965, jw0956	hydrogenase 1, b-type cytochrome subunit
b0975	hyad, eck0966, jw0957	protein involved in processing of hyaa and hyab proteins
b0976	hyae, eck0967, jw0958	protein involved in processing of hyaa and hyab proteins
b0977	hyaf, eck0968, jw0959	protein involved in nickel incorporation into hydrogenase-1 proteins
b0978	appc, cbda, cyxa, eck0969, jw0960	cytochrome bd-ii oxidase, subunit i (ec:1,10,3,-)
b0979	appb, cbdb, cyxb, eck0970, jw0961	cytochrome bd-ii oxidase, subunit ii (ec:1,10,3,-)
b0980	appa, eck0971, jw0963	phosphoanhydride phosphorylase (ec:3,1,3,26 3,1,3,2)
b0981	etk, eck0972, jw0964, yccc	cryptic autophosphorylating protein tyrosine kinase etk
b0982	etp, eck0973, jw5132, yccy	phosphotyrosine-protein phosphatase
b0983	gfce, eck0974, jw0966, yccz	predicted exopolysaccharide export protein
b0984	gfcd, eck0975, jw0967, ymca	conserved protein
b0985	gfcc, eck0976, jw0968, ymcb	conserved protein
b0986	gfcb, eck0977, jw0969, ymcc	predicted outer membrane lipoprotein
b0987	gfca, eck0978, jw5133, ymcd	predicted protein
b0989	csph, cspk, eck0979, jw5134	stress protein, member of the cspa-family
b0990	cspg, cspi, eck0980, jw0974	dna-binding transcriptional regulator
b0991	ymce, eck0981, jw0975, sfa	cold shock gene
b0992	yccm, eck0983, jw0977	predicted 4fe-4s membrane protein
b0993	tors, eck0984, jw5135, ycci	hybrid sensory histidine kinase in two-component regulatory system
b0994	tort, eck0985, jw0979, ycch	periplasmic sensory protein associated with the torrs two-component
b0995	torr, eck0986, jw0980	dna-binding response regulator in two-component regulatory system
b0996	torc, eck0987, jw0981	trimethylamine n-oxide (tmao) reductase i, cytochrome c-type subunit
b0997	tora, eck0988, jw0982	trimethylamine n-oxide (tmao) reductase i, catalytic subunit
b0998	tord, eck0989, jw0983	chaperone involved in maturation of tora subunit of trimethylamine
b0999	cbpm, eck0990, jw0984, yccd	modulator of cbpa co-chaperone
b1000	cbpa, eck0991, jw0985	curved dna-binding protein, dnaj homologue that functions as a
b1001	ycce, eck0992, jw0986	predicted protein
b1002	agp, eck0993, jw0987	glucose-1-phosphatase/inositol phosphatase (ec:3,1,3,10)
b1003	yccj, eck0994, jw0988	predicted protein
b1004	wrba, eck0995, jw0989	nad(p)h:quinone oxidoreductase
b1006	rutg, eck0997, jw5137, ycdg	predicted transporter
b1007	rutf, eck0998, jw5138, ycdh	predicted oxidoreductase, flavin:nadh component
b1008	rute, eck0999, jw0993, ycdi	predicted oxidoreductase
b1009	rutd, eck1000, jw0994, ycdj	predicted hydrolase
b1010	rutc, eck1001, jw0995, ycdk	conserved protein
b1011	rutb, eck1002, jw5139, ycdl	predicted enzyme
b1012	ruta, eck1003, jw0997, ycdm	predicted monooxygenase
b1013	rutr, eck1004, jw0998, ycdc	predicted dna-binding transcriptional regulator
b1014	puta, eck1005, jw0999, poaa, putc	fused dna-binding transcriptional regulator/proline
b1015	putp, eck1006, jw1001, putc	proline:sodium symporter
b1018	efeo, eck1008, jw1003, ycdo	conserved protein
b1019	efeb, eck1009, jw1004, ycdb	conserved protein
b1020	phoh, eck1010, jw1005, psih	conserved protein with nucleoside triphosphate hydrolase domain
b1021	pgad, eck1011, hmss, jw1006, ycdp	predicted inner membrane protein
b1022	pgac, eck1012, hmsr, jw1007, ycdq	predicted glycosyl transferase
b1023	pgab, eck1013, jw5142, ycdr	predicted enzyme associated with biofilm formation
b1024	pgaa, eck1014, jw1010, ycds	predicted outer membrane protein
b1025	ycdt, eck1015, jw5143	predicted diguanylate cyclase
b1026	insf, eck0299	is3 element protein insf
b1027	inse, eck0298	is3 element protein inse
b1028	ymde, eck1016, jw5145	pseudogene
b1029	ycdu, eck1017, jw1015	predicted inner membrane protein
b1032	serx, eck1018, jwr0027	trna-ser
b1033	ghra, eck1019, jw5146, ycdw	2-ketoacid reductase (ec:1,1,1,79)
b1034	ycdx, eck1020, jw1017	predicted zinc-binding hydrolase
b1035	ycdy, eck1021, jw1018	conserved protein
b1036	ycdz, eck1022, jw5147	predicted inner membrane protein
b1037	csgg, agfg, eck1023, jw1020	outer membrane lipoprotein
b1038	csgf, agff, eck1024, jw1021	predicted transport protein
b1039	csge, agfe, eck1025, jw1022	predicted transport protein
b1040	csgd, agfd, eck1026, jw1023	dna-binding transcriptional activator in two-component regulatory
b1041	csgb, agfb, eck1027, jw1024	curlin nucleator protein, minor subunit in curli complex
b1042	csga, agfa, eck1028, jw1025	cryptic curlin major subunit
b1043	csgc, agfc, eck1029, jw1026, ycde	predicted curli production protein
b1044	ymda, eck1030, jw1031	predicted protein
b1045	ymdb, eck1031, jw1032	conserved protein
b1046	ymdc, eck1032, jw5150	predicted hydrolase
b1047	opgc, eck1033, jw1034, mdoc, ymdd	membrane protein required for modification of periplasmic glucan
b1048	opgg, eck1034, jw1035, mdoa, mdog	glucan biosynthesis protein, periplasmic
b1049	opgh, eck1035, jw1037, mdoa, mdoh	glucan biosynthesis: glycosyl transferase
b1050	ycek, eck1036, jw5151	predicted lipoprotein
b1051	msyb, eck1037, jw1039	predicted protein
b1053	mdtg, eck1038, jw1040, ycee	predicted drug efflux system
b1054	lpxl, eck1039, htrb, jw1041, waam	lauryl-acyl carrier protein (acp)-dependent acyltransferase
b1055	ycea, eck1040, jw1042	conserved protein
b1056	ycei, eck1041, jw1043	predicted protein
b1057	ycej, eck1042, jw1044	predicted cytochrome b561
b1058	yceo, eck1043, jw1045	predicted protein
b1059	sola, eck1044, jw1046	n-methyltryptophan oxidase, fad-binding (ec:1,5,3,2)
b1060	bsss, eck1045, jw5152, ycep	predicted protein
b1061	dini, eck1046, jw1048	dna damage-inducible protein i
b1062	pyrc, eck1047, jw1049	dihydro-orotase (ec:3,5,2,3)
b1063	yceb, eck1048, jw1050	predicted lipoprotein
b1064	grxb, eck1049, jw1051	glutaredoxin 2 (grx2)
b1065	mdth, eck1050, jw1052, ycel	predicted drug efflux system
b1066	rimj, eck1051, jw1053, tcp	ribosomal-protein-s5-alanine n-acetyltransferase (ec:2,3,1,128)
b1067	yceh, eck1052, jw1054	conserved protein
b1068	ycem, eck1053, jw1055, mvim, mvis	predicted oxidoreductase with nad(p)-binding rossmann-fold domain
b1069	murj, eck1054, jw1056, mvin, mvis, ycen	predicted inner membrane protein
b1070	flgn, eck1055, jw1057	export chaperone for flgk and flgl
b1071	flgm, eck1056, jw1058, mvis	anti-sigma factor for flia (sigma 28)
b1072	flga, eck1057, flau, jw1059	assembly protein for flagellar basal-body periplasmic p ring
b1073	flgb, eck1058, flba, jw1060	flagellar component of cell-proximal portion of basal-body rod
b1074	flgc, eck1059, flaw, jw1061	flagellar component of cell-proximal portion of basal-body rod
b1075	flgd, eck1060, flav, jw1062	flagellar hook assembly protein
b1076	flge, eck1061, flak, jw1063	flagellar hook protein
b1077	flgf, eck1062, flax, jw1064	flagellar component of cell-proximal portion of basal-body rod
b1078	flgg, eck1063, flal, jw1065	flagellar component of cell-distal portion of basal-body rod
b1079	flgh, eck1064, flay, jw5153	flagellar protein of basal-body outer-membrane l ring
b1080	flgi, eck1065, flam, jw1067	predicted flagellar basal body protein
b1081	flgj, eck1066, flaz, jw1068	muramidase
b1082	flgk, eck1067, flas, jw1069	flagellar hook-filament junction protein 1
b1083	flgl, eck1068, flat, jw1070	flagellar hook-filament junction protein
b1084	rne, ams, eck1069, hmp1, jw1071, smbb	fused ribonucleasee: endoribonuclease/rna-binding protein/rna
b1085	yceq, eck1070, jw5154	predicted protein
b1086	rluc, eck1071, jw1072, ycec	23s rrna pseudouridylate synthase (ec:4,2,1,70)
b1087	ycef, eck1072, jw5155	predicted protein
b1088	yced, eck1074, jw1074	conserved protein
b1089	rpmf, eck1075, jw1075	50s ribosomal subunit protein l32
b1090	plsx, eck1076, jw5156	fatty acid/phospholipid synthesis protein
b1091	fabh, eck1077, jw1077	3-oxoacyl-
b1092	fabd, eck1078, jw1078, tfpa	malonyl-coa-
b1093	fabg, eck1079, jw1079	3-oxoacyl-
b1094	acpp, eck1080, jw1080	acyl carrier protein (acp)
b1095	fabf, cvc, eck1081, fabj, jw1081, vtr	3-oxoacyl-
b1096	pabc, eck1082, jw1082	4-amino-4-deoxychorismate lyase component of para-aminobenzoate
b1097	yceg, eck1083, jw1083	predicted aminodeoxychorismate lyase
b1098	tmk, eck1084, jw1084, ycfg	thymidylate kinase (ec:2,7,4,9)
b1099	holb, eck1085, jw1085	dna polymerase iii, delta prime subunit (ec:2,7,7,7)
b1100	ycfh, eck1086, jw1086	predicted metallodependent hydrolase
b1101	ptsg, car, cat, cr, eck1087, glca, jw1087, tgl, umg, umgc	fused glucose-specific pts enzymes: iib component/iic component
b1102	fhue, eck1088, jw1088	ferric-rhodotorulic acid outer membrane transporter
b1103	hint, eck1089, jw1089, ycff	purine nucleoside phosphoramidase
b1104	ycfl, eck1090, jw1090	predicted protein
b1105	ycfm, eck1091, jw5157	predicted outer membrane lipoprotein
b1106	thik, eck1092, jw1092, ycfn	thiamin kinase (ec:2,7,1,89)
b1107	nagz, eck1093, jw1093, ycfo	beta n-acetyl-glucosaminidase (ec:3,2,1,52)
b1108	ycfp, eck1094, jw5158	conserved protein
